data,produto_id,filial_id,empresa,volume,preco_unitario,receita
2025-03-15,P016,F099,Clamed,3.0,22.86,68.58
2025-01-07,P031,F220,Concorrente,3.0,189.83,569.49
2025-03-16,P027,F133,Concorrente,4.0,1834.23,7336.92
2025-02-04,P034,F242,Clamed,3.0,317.97,953.91
2025-01-10,P044,F198,Clamed,4.0,2245.07,8980.28
2025-03-08,P002,F104,Clamed,4.0,2291.84,9167.36
2025-03-02,P045,F038,Clamed,1.0,391.99,391.99
2025-03-29,P033,F087,Clamed,16.0,86.79,1388.64
2025-03-08,P026,F001,Clamed,1.0,3414.15,3414.15
2025-05-14,P005,F123,Concorrente,3.0,2332.85,6998.55
2025-06-07,P030,F018,Concorrente,2.0,40.36,80.72
2025-05-02,P010,F216,Concorrente,1.0,334.12,334.12
2025-03-25,P031,F213,Clamed,6.0,149.55,897.3
2025-04-20,P029,F047,Clamed,9.0,1121.64,10094.76
2025-06-29,P033,F241,Clamed,5.0,1468.05,7340.25
2025-02-20,P044,F085,Concorrente,6.0,1401.77,8410.62
2025-04-01,P047,F156,Concorrente,2.0,3115.16,6230.32
2025-05-06,P039,F247,Clamed,2.0,562.43,1124.86
2025-01-10,P011,F233,Concorrente,1.0,5186.78,5186.78
2025-05-01,P036,F179,Concorrente,2.0,45.96,91.92
2025-05-16,P022,F246,Clamed,1.0,419.14,419.14
2025-04-18,P036,F046,Clamed,4.0,2424.06,9696.24
2025-01-30,P015,F230,Concorrente,1.0,579.37,579.37
2025-02-15,P002,F043,Concorrente,1.0,402.95,402.95
2025-06-01,P004,F043,Clamed,2.0,25.75,51.5
2025-06-25,P037,F063,Concorrente,1.0,3269.26,3269.26
2025-06-07,P024,F194,Concorrente,1.0,332.88,332.88
2025-02-18,P016,F145,Concorrente,1.0,448.92,448.92
2025-06-10,P014,F174,Clamed,3.0,325.55,976.65
2025-03-04,P005,F072,Clamed,1.0,540.47,540.47
2025-02-15,P005,F176,Concorrente,2.0,406.73,813.46
2025-02-08,P005,F284,Concorrente,2.0,377.9,755.8
2025-01-02,P012,F227,Concorrente,2.0,3801.6,7603.2
2025-03-04,P025,F036,Clamed,6.0,2807.5,16845
2025-03-31,P024,F236,Clamed,1.0,299.22,299.22
2025-03-19,P040,F147,Concorrente,3.0,203.2,609.6
2025-06-10,P014,F277,Concorrente,3.0,2950.82,8852.46
2025-03-03,P044,F063,Clamed,4.0,171.07,684.28
2025-02-02,P030,F092,Clamed,2.0,372.94,745.88
2025-04-08,P009,F044,Clamed,2.0,331.47,662.94
2025-01-01,P030,F047,Clamed,1.0,527.34,527.34
2025-02-08,P031,F056,Clamed,6.0,188.72,1132.32
2025-04-14,P002,F257,Concorrente,1.0,434.36,434.36
2025-04-23,P034,F062,Clamed,5.0,1714.85,8574.25
2025-02-10,P036,F093,Clamed,4.0,2783.35,11133.4
2025-06-23,P049,F278,Clamed,1.0,4014.32,4014.32
2025-06-04,P034,F210,Clamed,2.0,3274.03,6548.06
2025-03-12,P030,F210,Clamed,1.0,356.46,356.46
2025-06-28,P010,F268,Clamed,3.0,2398.8,7196.4
2025-06-11,P048,F134,Concorrente,3.0,2748.22,8244.66
2025-06-14,P033,F094,Concorrente,15.0,1101,16515
2025-06-11,P021,F208,Clamed,4.0,2976.42,11905.68
2025-01-13,P018,F104,Clamed,4.0,3700.1,14800.4
2025-06-01,P027,F024,Clamed,8.0,1114.83,8918.64
2025-06-17,P012,F178,Clamed,3.0,3990.43,11971.29
2025-04-25,P011,F239,Clamed,1.0,544.1,544.1
2025-03-27,P034,F242,Concorrente,5.0,2253.36,11266.8
2025-03-08,P030,F194,Concorrente,1.0,440.57,440.57
2025-03-06,P022,F281,Clamed,4.0,2152.49,8609.96
2025-05-12,P030,F158,Clamed,3.0,2322.57,6967.71
2025-04-05,P032,F159,Clamed,3.0,187.13,561.39
2025-01-07,P003,F023,Clamed,2.0,3134.32,6268.64
2025-06-18,P021,F160,Clamed,5.0,256.2,1281
2025-04-22,P007,F075,Clamed,2.0,337.56,675.12
2025-02-04,P043,F173,Clamed,1.0,2888.93,2888.93
2025-05-14,P044,F013,Clamed,4.0,253.71,1014.84
2025-02-27,P022,F206,Clamed,1.0,360.44,360.44
2025-05-13,P015,F078,Clamed,3.0,2326.63,6979.89
2025-04-06,P036,F130,Clamed,4.0,2615.24,10460.96
2025-05-19,P041,F115,Concorrente,1.0,364.36,364.36
2025-02-08,P010,F219,Concorrente,1.0,320.06,320.06
2025-06-16,P014,F155,Concorrente,2.0,2592.85,5185.7
2025-01-18,P008,F097,Concorrente,3.0,2762.13,8286.39
2025-04-16,P036,F154,Concorrente,5.0,232.92,1164.6
2025-02-20,P002,F053,Clamed,2.0,343.31,686.62
2025-04-03,P005,F149,Clamed,2.0,325.21,650.42
2025-03-25,P039,F129,Concorrente,3.0,3507.72,10523.16
2025-03-21,P010,F290,Concorrente,2.0,364.87,729.74
2025-01-21,P010,F258,Clamed,1.0,466.99,466.99
2025-02-03,P033,F214,Concorrente,7.0,1208.16,8457.12
2025-05-01,P050,F252,Concorrente,2.0,2915.74,5831.48
2025-06-17,P042,F014,Concorrente,7.0,1655.86,11591.02
2025-06-14,P002,F117,Clamed,1.0,418.28,418.28
2025-04-27,P048,F172,Concorrente,8.0,1376.51,11012.08
2025-06-15,P007,F055,Concorrente,1.0,46.53,46.53
2025-03-28,P001,F023,Clamed,3.0,315.89,947.67
2025-04-09,P036,F126,Clamed,3.0,3647.82,10943.46
2025-04-03,P030,F090,Clamed,2.0,431.43,862.86
2025-03-29,P039,F257,Clamed,5.0,2252.14,11260.7
2025-05-31,P032,F092,Clamed,7.0,1966.57,13765.99
2025-01-03,P013,F196,Clamed,1.0,599.29,599.29
2025-04-16,P036,F275,Clamed,4.0,326.54,1306.16
2025-01-19,P035,F211,Clamed,2.0,278.43,556.86
2025-03-18,P044,F033,Clamed,4.0,2368.27,9473.08
2025-05-12,P013,F197,Concorrente,2.0,397.12,794.24
2025-03-02,P002,F252,Concorrente,1.0,2890.42,2890.42
2025-06-10,P041,F239,Clamed,3.0,2170.48,6511.44
2025-06-08,P021,F270,Concorrente,3.0,436.9,1310.7
2025-03-24,P026,F299,Clamed,3.0,3.07,9.21
2025-04-24,P014,F195,Concorrente,2.0,2845.08,5690.16
2025-05-27,P049,F053,Clamed,1.0,335.63,335.63
2025-04-03,P025,F171,Clamed,2.0,4573.21,9146.42
2025-01-07,P005,F288,Concorrente,1.0,3.34,3.34
2025-02-07,P011,F065,Concorrente,2.0,331.26,662.52
2025-05-09,P043,F293,Concorrente,6.0,165.94,995.64
2025-02-27,P034,F034,Concorrente,4.0,2383.16,9532.64
2025-06-20,P045,F038,Concorrente,3.0,2195.42,6586.26
2025-06-01,P009,F125,Concorrente,15.0,844.85,12672.75
2025-05-04,P032,F141,Concorrente,10.0,1549.81,15498.1
2025-03-07,P029,F169,Clamed,7.0,202.9,1420.3
2025-03-15,P025,F218,Concorrente,6.0,2497.01,14982.06
2025-02-24,P020,F099,Concorrente,5.0,2667.81,13339.05
2025-05-14,P047,F195,Clamed,3.0,2609.84,7829.52
2025-03-01,P029,F214,Concorrente,4.0,241.25,965
2025-05-30,P004,F044,Concorrente,1.0,652.8,652.8
2025-06-20,P020,F294,Clamed,1.0,288.25,288.25
2025-04-29,P026,F061,Clamed,7.0,1379.68,9657.76
2025-03-01,P019,F188,Concorrente,5.0,2147.04,10735.2
2025-02-06,P004,F186,Clamed,1.0,2604.22,2604.22
2025-05-18,P008,F203,Clamed,4.0,1871,7484
2025-05-04,P035,F139,Clamed,2.0,326.16,652.32
2025-01-25,P003,F061,Clamed,7.0,1808.99,12662.93
2025-03-11,P017,F073,Concorrente,3.0,188.85,566.55
2025-06-22,P035,F091,Concorrente,3.0,2138.06,6414.18
2025-02-15,P006,F024,Clamed,3.0,246.55,739.65
2025-03-28,P017,F136,Clamed,1.0,364.46,364.46
2025-02-03,P015,F292,Concorrente,1.0,3126.96,3126.96
2025-03-15,P010,F045,Clamed,2.0,388.49,776.98
2025-01-19,P024,F188,Concorrente,2.0,3085.7,6171.4
2025-05-29,P017,F123,Clamed,6.0,1536.34,9218.04
2025-03-28,P032,F298,Concorrente,5.0,2310.1,11550.5
2025-05-09,P047,F127,Concorrente,1.0,3969,3969
2025-05-21,P017,F146,Clamed,3.0,228.72,686.16
2025-01-16,P047,F002,Concorrente,4.0,227.84,911.36
2025-03-28,P043,F249,Concorrente,10.0,1180.98,11809.8
2025-06-12,P003,F005,Concorrente,7.0,2245.42,15717.94
2025-01-20,P042,F231,Concorrente,9.0,1370.11,12330.99
2025-03-13,P031,F218,Concorrente,4.0,2275.08,9100.32
2025-06-08,P029,F193,Concorrente,3.0,306.15,918.45
2025-05-11,P022,F268,Clamed,3.0,3336.46,10009.38
2025-02-27,P039,F196,Concorrente,3.0,334.19,1002.57
2025-03-31,P031,F230,Concorrente,4.0,249.02,996.08
2025-05-02,P004,F036,Clamed,2.0,441.92,883.84
2025-04-25,P033,F117,Clamed,10.0,1224.95,12249.5
2025-02-09,P047,F068,Concorrente,5.0,184.67,923.35
2025-01-03,P026,F052,Concorrente,2.0,37.74,75.48
2025-04-08,P015,F039,Clamed,2.0,4234.58,8469.16
2025-02-24,P013,F250,Concorrente,1.0,4542.12,4542.12
2025-01-23,P033,F223,Concorrente,5.0,2209.36,11046.8
2025-04-05,P015,F216,Concorrente,1.0,51.61,51.61
2025-03-06,P004,F263,Clamed,1.0,4561.35,4561.35
2025-05-24,P043,F166,Clamed,7.0,1369.13,9583.91
2025-06-17,P011,F179,Clamed,1.0,4336.86,4336.86
2025-05-22,P029,F249,Clamed,10.0,1340.51,
2025-05-18,P024,F102,Concorrente,2.0,270.49,540.98
2025-04-16,P005,F001,Concorrente,1.0,3862.72,3862.72
2025-03-29,P024,F010,Concorrente,3.0,2958.74,8876.22
2025-03-04,P024,F294,Clamed,2.0,3128.4,6256.8
2025-03-16,P036,F125,Clamed,3.0,447.5,1342.5
2025-03-25,P016,F061,Clamed,5.0,229.92,1149.6
2025-02-06,P038,F160,Concorrente,2.0,280.99,561.98
2025-06-03,P028,F164,Concorrente,1.0,394.27,394.27
2025-02-26,P027,F020,Concorrente,16.0,1038.74,16619.84
2025-03-02,P044,F068,Clamed,9.0,118.3,1064.7
2025-02-15,P030,F029,Concorrente,1.0,571.21,571.21
2025-04-04,P027,F100,Clamed,10.0,126.44,1264.4
2025-04-01,P017,F200,Concorrente,7.0,1474.61,10322.27
2025-04-23,P016,F196,Clamed,1.0,487.52,487.52
2025-01-08,P010,F183,Clamed,1.0,4416.69,4416.69
2025-04-08,P030,F104,Concorrente,2.0,276.45,552.9
2025-03-09,P020,F017,Clamed,3.0,2116.1,6348.3
2025-01-14,P036,F017,Concorrente,5.0,2460.71,12303.55
2025-03-02,P026,F293,Clamed,3.0,3108.28,9324.84
2025-02-27,P050,F264,Concorrente,3.0,3031.16,9093.48
2025-02-05,P003,F281,Clamed,10.0,1019.19,10191.9
2025-06-15,P005,F196,Concorrente,1.0,361,361
2025-04-29,P036,F086,Clamed,4.0,3197.97,12791.88
2025-06-26,P027,F159,Concorrente,3.0,248.99,746.97
2025-02-03,P046,F236,Concorrente,1.0,457.39,457.39
2025-04-05,P005,F289,Clamed,1.0,536.14,536.14
2025-06-27,P026,F292,Concorrente,5.0,1610.11,8050.55
2025-02-22,P037,F027,Clamed,1.0,3165.22,3165.22
2025-05-11,P008,F111,Concorrente,3.0,2830.76,8492.28
2025-02-14,P040,F214,Concorrente,2.0,2717.74,5435.48
2025-01-09,P050,F250,Clamed,3.0,190.52,571.56
2025-06-21,P045,F244,Clamed,4.0,270.64,1082.56
2025-05-11,P030,F243,Concorrente,2.0,2869.18,5738.36
2025-02-19,P039,F133,Concorrente,3.0,2740.66,8221.98
2025-02-26,P022,F066,Clamed,8.0,1501.64,12013.12
2025-05-13,P023,F258,Concorrente,11.0,2256.63,24822.93
2025-05-04,P047,F268,Clamed,3.0,280.95,842.85
2025-02-03,P006,F133,Concorrente,5.0,1716.36,8581.8
2025-01-07,P041,F052,Concorrente,2.0,3044.66,6089.32
2025-01-19,P038,F129,Concorrente,4.0,1716.01,6864.04
2025-02-05,P012,F200,Concorrente,6.0,2540.98,15245.88
2025-05-01,P004,F191,Concorrente,2.0,352.15,704.3
2025-03-19,P004,F127,Concorrente,1.0,404.34,404.34
2025-05-10,P048,F157,Concorrente,7.0,1299.88,9099.16
2025-04-29,P025,F110,Clamed,3.0,332.69,998.07
2025-05-29,P027,F030,Concorrente,8.0,1557.37,12458.96
2025-06-19,P009,F234,Clamed,6.0,1720.37,10322.22
2025-04-17,P008,F086,Clamed,9.0,162.4,1461.6
2025-06-28,P009,F284,Concorrente,7.0,2032.36,14226.52
2025-03-05,P041,F165,Concorrente,4.0,176.19,704.76
2025-06-01,P013,F050,Clamed,1.0,473.5,473.5
2025-05-24,P042,F103,Clamed,9.0,1138.68,10248.12
2025-03-03,P018,F168,Concorrente,,2942.34,8827.02
2025-04-27,P045,F068,Concorrente,4.0,2683.79,10735.16
2025-03-22,P023,F003,Concorrente,4.0,2801.88,11207.52
2025-06-22,P020,F163,Concorrente,20.0,346.21,6924.2
2025-03-23,P032,F143,Clamed,5.0,1687.85,8439.25
2025-03-02,P013,F070,Concorrente,2.0,4184.73,8369.46
2025-05-04,P048,F146,Concorrente,2.0,3085.31,6170.62
2025-03-21,P033,F181,Clamed,9.0,1210.02,10890.18
2025-06-22,P026,F256,Concorrente,5.0,2383.15,11915.75
2025-01-11,P014,F107,Concorrente,4.0,2083.76,8335.04
2025-05-03,P005,F109,Clamed,1.0,321.73,321.73
2025-03-03,P036,F269,Clamed,1.0,5717.6,5717.6
2025-02-06,P030,F110,Concorrente,2.0,260.35,520.7
2025-03-22,P018,F297,Clamed,4.0,2936.76,11747.04
2025-03-26,P040,F101,Clamed,3.0,2306.75,6920.25
2025-04-20,P030,F125,Clamed,1.0,642.89,642.89
2025-01-18,P035,F006,Clamed,3.0,243.81,731.43
2025-06-13,P041,F157,Clamed,6.0,1756.87,10541.22
2025-06-04,P050,F231,Concorrente,2.0,333.39,666.78
2025-02-23,P013,F221,Concorrente,3.0,2686.85,8060.55
2025-01-19,P037,F273,Clamed,1.0,459.79,459.79
2025-03-23,P015,F142,Clamed,2.0,3160.09,6320.18
2025-06-08,P031,F155,Clamed,5.0,1621.19,8105.95
2025-01-23,P031,F066,Clamed,5.0,2125.95,10629.75
2025-03-22,P006,F251,Clamed,12.0,114.6,1375.2
2025-04-22,P019,F298,Concorrente,7.0,1985.96,13901.72
2025-02-01,P038,F075,Concorrente,3.0,326.79,980.37
2025-03-16,P049,F083,Clamed,2.0,404.93,809.86
